n1	text	pos	n2	itext
116367	other	aj0	3098	NULL
108392	new	aj0	3067	NULL
59308	good	aj0	2902	NULL
43181	different	aj0	2834	NULL
40819	small	aj0	2821	NULL
27345	high	aj0	2816	NULL
24053	full	aj0	2812	NULL
32653	possible	aj0	2795	NULL
36361	important	aj0	2784	NULL
26890	able	aj0	2766	NULL
32567	large	aj0	2747	NULL
39156	great	aj0	2744	NULL
22052	only	aj0	2733	NULL
49098	old	aj0	2721	NULL
23765	best	ajs	2678	NULL
21882	long	aj0	2634	NULL
22719	main	aj0	2634	NULL
41099	local	aj0	2632	NULL
20677	special	aj0	2610	NULL
19935	difficult	aj0	2596	NULL
21264	real	aj0	2591	NULL
18168	free	aj0	2586	NULL
18191	clear	aj0	2581	NULL
17570	better	ajc	2560	NULL
26106	available	aj0	2539	NULL
19875	certain	aj0	2517	NULL
15103	strong	aj0	2499	NULL
17089	early	aj0	2499	NULL
21688	likely	aj0	2493	NULL
14773	open	aj0	2478	NULL
15581	further	ajc	2474	NULL
15686	single	aj0	2456	NULL
12675	short	aj0	2442	NULL
17370	necessary	aj0	2437	NULL
17711	similar	aj0	2431	NULL
15546	true	aj0	2390	NULL
28267	public	aj0	2383	NULL
22235	major	aj0	2374	NULL
12484	final	aj0	2370	NULL
28963	young	aj0	2367	NULL
14452	various	aj0	2351	NULL
16302	common	aj0	2347	NULL
18809	little	aj0	2343	NULL
15437	recent	aj0	2342	NULL
16951	personal	aj0	2340	NULL
19861	particular	aj0	2336	NULL
33727	british	aj0	2324	NULL
9217	complete	aj0	2287	NULL
13103	simple	aj0	2284	NULL
11743	previous	aj0	2274	NULL
35487	national	aj0	2274	NULL
11573	serious	aj0	2253	NULL
17225	central	aj0	2246	NULL
14082	poor	aj0	2199	NULL
18072	general	aj0	2194	NULL
19234	big	aj0	2191	NULL
9658	easy	aj0	2181	NULL
10346	successful	aj0	2178	NULL
13836	natural	aj0	2177	NULL
15008	higher	ajc	2176	NULL
13570	greater	ajc	2175	NULL
8891	wide	aj0	2172	NULL
12840	following	aj0	2153	NULL
15572	private	aj0	2134	NULL
10996	low	aj0	2122	NULL
7541	close	aj0	2114	NULL
9872	original	aj0	2099	NULL
11537	normal	aj0	2090	NULL
17524	white	aj0	2090	NULL
8669	ready	aj0	2079	NULL
10929	wrong	aj0	2075	NULL
8978	hard	aj0	2067	NULL
13613	whole	aj0	2065	NULL
8965	responsible	aj0	2063	NULL
11166	bad	aj0	2057	NULL
8710	heavy	aj0	2050	NULL
9876	aware	aj0	2049	NULL
40425	social	aj0	2044	NULL
10040	concerned	aj0	2032	NULL
10455	lower	ajc	2028	NULL
8060	obvious	aj0	2013	NULL
7990	late	aj0	2008	NULL
7207	regular	aj0	2004	NULL
12633	modern	aj0	2003	NULL
17977	black	aj0	1997	NULL
6792	impossible	aj0	1996	NULL
8755	later	ajc	1994	NULL
13890	right	aj0	1988	NULL
12343	sure	aj0	1974	NULL
8106	interesting	aj0	1965	NULL
17017	english	aj0	1961	NULL
10317	popular	aj0	1957	NULL
8491	direct	aj0	1954	NULL
9474	useful	aj0	1938	NULL
9902	fine	aj0	1931	NULL
7226	separate	aj0	1924	NULL
9831	present	aj0	1917	NULL
10366	appropriate	aj0	1912	NULL
5963	interested	aj0	1911	NULL
9825	happy	aj0	1905	NULL
8072	essential	aj0	1900	NULL
9360	considerable	aj0	1898	NULL
6207	unable	aj0	1894	NULL
10339	basic	aj0	1888	NULL
7053	powerful	aj0	1870	NULL
9585	traditional	aj0	1868	NULL
7390	larger	ajc	1868	NULL
21535	international	aj0	1863	NULL
15807	financial	aj0	1861	NULL
9588	effective	aj0	1858	NULL
8533	independent	aj0	1849	NULL
6864	smaller	ajc	1848	NULL
5943	immediate	aj0	1843	NULL
11664	significant	aj0	1842	NULL
7343	extra	aj0	1828	NULL
14102	american	aj0	1825	NULL
6039	usual	aj0	1823	NULL
