n1	text	pos	n2	itext
143	deceptively	av0	126	NULL
132	rudely	av0	125	NULL
162	provisionally	av0	125	NULL
149	sparingly	av0	124	NULL
141	downright	av0	124	NULL
249	crossly	av0	124	NULL
157	categorically	av0	124	NULL
154	afar	av0	123	NULL
141	precariously	av0	123	NULL
157	viciously	av0	123	NULL
146	surreptitiously	av0	122	NULL
150	contemptuously	av0	122	NULL
162	tactfully	av0	122	NULL
188	breathlessly	av0	121	NULL
176	restlessly	av0	121	NULL
179	determinedly	av0	121	NULL
173	westwards	av0	120	NULL
271	10am	av0	120	NULL
242	offshore	av0	120	NULL
137	obliquely	av0	119	NULL
140	magnificently	av0	118	NULL
131	cleanly	av0	117	NULL
131	longest	av0	117	NULL
166	diagonally	av0	117	NULL
131	astray	av0	116	NULL
146	marvellously	av0	116	NULL
159	wherein	avq	116	NULL
182	damned	av0	116	NULL
150	every_so_often	av0	116	NULL
174	chronically	av0	116	NULL
129	scrupulously	av0	115	NULL
146	hardest	av0	115	NULL
142	intelligently	av0	115	NULL
146	expectantly	av0	115	NULL
174	recklessly	av0	115	NULL
186	southwards	av0	114	NULL
137	irrevocably	av0	114	NULL
138	feebly	av0	113	NULL
125	laboriously	av0	113	NULL
208	absently	av0	113	NULL
172	unilaterally	av0	113	NULL
126	jealously	av0	112	NULL
149	distantly	av0	112	NULL
153	part	av0	112	NULL
150	spiritually	av0	112	NULL
187	constitutionally	av0	112	NULL
133	energetically	av0	111	NULL
125	decently	av0	111	NULL
153	retrospectively	av0	111	NULL
171	academically	av0	111	NULL
127	doggedly	av0	111	NULL
178	solo	av0	111	NULL
121	imperceptibly	av0	111	NULL
127	tacitly	av0	111	NULL
186	westward	av0	110	NULL
138	guiltily	av0	110	NULL
126	inexplicably	av0	109	NULL
131	something_like	av0	109	NULL
129	humbly	av0	109	NULL
130	encouragingly	av0	109	NULL
124	indiscriminately	av0	109	NULL
125	graciously	av0	109	NULL
129	philosophically	av0	109	NULL
180	numerically	av0	108	NULL
134	rhythmically	av0	108	NULL
147	magically	av0	108	NULL
117	avidly	av0	108	NULL
197	empirically	av0	108	NULL
118	gloriously	av0	107	NULL
121	following	av0	107	NULL
118	mercilessly	av0	107	NULL
130	amiss	av0	107	NULL
130	cuddly	av0	107	NULL
135	backward	av0	107	NULL
171	outdoors	av0	106	NULL
207	f	av0	106	NULL
145	sourly	av0	106	NULL
130	conceptually	av0	106	NULL
120	assiduously	av0	106	NULL
120	perilously	av0	106	NULL
202	upstream	av0	106	NULL
188	biologically	av0	106	NULL
123	merrily	av0	106	NULL
183	sarcastically	av0	105	NULL
127	subconsciously	av0	105	NULL
135	upwards_of	av0	105	NULL
119	strenuously	av0	105	NULL
115	head-on	av0	104	NULL
132	summarily	av0	104	NULL
115	startlingly	av0	104	NULL
165	incredulously	av0	104	NULL
136	stupidly	av0	104	NULL
314	8pm	av0	104	NULL
111	unfavourably	av0	104	NULL
167	mathematically	av0	104	NULL
166	electrically	av0	104	NULL
119	aimlessly	av0	104	NULL
125	uncontrollably	av0	103	NULL
164	scornfully	av0	103	NULL
121	blithely	av0	103	NULL
131	quick	av0	103	NULL
117	unevenly	av0	102	NULL
149	abnormally	av0	102	NULL
111	unawares	av0	102	NULL
165	wrong	av0	102	NULL
131	classically	av0	102	NULL
219	circa	av0	101	NULL
146	democratically	av0	101	NULL
115	plain	av0	101	NULL
138	uphill	av0	101	NULL
128	fourthly	av0	100	NULL
133	meaningfully	av0	100	NULL
110	eloquently	av0	100	NULL
114	coincidentally	av0	100	NULL
123	appreciatively	av0	100	NULL
185	alright	av0	100	NULL
320	clinically	av0	100	NULL
123	contentedly	av0	100	NULL
129	approvingly	av0	100	NULL
175	functionally	av0	100	NULL
176	curtly	av0	99	NULL
111	unashamedly	av0	99	NULL
126	immaculately	av0	99	NULL
259	left	av0	99	NULL
385	7.30pm	av0	99	NULL
122	gleefully	av0	99	NULL
241	7pm	av0	99	NULL
166	qualitatively	av0	99	NULL
113	blissfully	av0	99	NULL
