n1	text	pos	n2	itext
142	oregon	np0	93	NULL
222	peel	np0	93	NULL
273	mussolini	np0	93	NULL
151	devil	np0	93	NULL
288	divisional	np0	93	NULL
147	dante	np0	93	NULL
253	garrett	np0	93	NULL
424	gateshead	np0	93	NULL
583	gloria	np0	93	NULL
198	falls	np0	93	NULL
195	harlow	np0	93	NULL
366	fr	np0	93	NULL
556	eva	np0	93	NULL
537	serbs	np0	93	NULL
334	roosevelt	np0	93	NULL
388	pike	np0	93	NULL
129	tuesdays	np0	93	NULL
192	wills	np0	93	NULL
664	sparc	np0	93	NULL
244	walk	np0	93	NULL
140	walls	np0	92	NULL
224	vickers	np0	92	NULL
1024	speaker	np0	92	NULL
203	parry	np0	92	NULL
262	archie	np0	92	NULL
326	beatrice	np0	92	NULL
272	bacon	np0	92	NULL
283	lima	np0	92	NULL
306	katie	np0	92	NULL
155	kentucky	np0	92	NULL
208	hume	np0	92	NULL
165	louisiana	np0	92	NULL
203	rochdale	np0	92	NULL
577	celia	np0	92	NULL
170	godfrey	np0	92	NULL
341	guatemala	np0	92	NULL
509	hector	np0	92	NULL
197	hicks	np0	92	NULL
171	abel	np0	91	NULL
243	bruno	np0	91	NULL
216	utah	np0	91	NULL
162	worth	np0	91	NULL
256	yvonne	np0	91	NULL
163	nicolas	np0	91	NULL
172	mergers	np0	91	NULL
308	munro	np0	91	NULL
642	orkney	np0	91	NULL
294	cowley	np0	91	NULL
211	doe	np0	91	NULL
285	duchess	np0	91	NULL
147	educational	np0	91	NULL
216	levy	np0	91	NULL
393	liam	np0	91	NULL
242	pitt	np0	91	NULL
249	platt	np0	91	NULL
265	pickering	np0	90	NULL
151	ranger	np0	90	NULL
146	reuters	np0	90	NULL
272	satan	np0	90	NULL
145	sonia	np0	90	NULL
141	squad	np0	90	NULL
399	hilda	np0	90	NULL
318	estonia	np0	90	NULL
187	griffith	np0	90	NULL
812	guinness	np0	90	NULL
224	hants	np0	90	NULL
321	floyd	np0	90	NULL
231	brother	np0	90	NULL
240	buxton	np0	90	NULL
228	abdul	np0	90	NULL
1255	lily	np0	90	NULL
228	macleod	np0	90	NULL
148	centres	np0	90	NULL
206	digital	np0	90	NULL
248	delta	np0	90	NULL
144	carpenter	np0	89	NULL
114	folkestone	np0	89	NULL
467	frankie	np0	89	NULL
170	fenton	np0	89	NULL
155	gene	np0	89	NULL
201	hatfield	np0	89	NULL
202	ridge	np0	89	NULL
170	riverside	np0	89	NULL
151	pont	np0	89	NULL
185	springs	np0	89	NULL
627	leith	np0	89	NULL
293	johnstone	np0	89	NULL
109	manufacturers	np0	89	NULL
162	monroe	np0	89	NULL
560	morse	np0	89	NULL
196	bologna	np0	89	NULL
342	barnard	np0	89	NULL
207	alexandria	np0	89	NULL
201	bucks	np0	88	NULL
160	achilles	np0	88	NULL
354	basic	np0	88	NULL
198	polytechnic	np0	88	NULL
258	singer	np0	88	NULL
217	daly	np0	88	NULL
285	dunbar	np0	88	NULL
345	dunlop	np0	88	NULL
135	claus	np0	88	NULL
259	col	np0	88	NULL
179	dorchester	np0	88	NULL
188	gods	np0	88	NULL
238	gogh	np0	88	NULL
166	olivier	np0	88	NULL
201	neill	np0	88	NULL
244	patel	np0	88	NULL
203	spence	np0	88	NULL
254	tribune	np0	88	NULL
192	thorn	np0	88	NULL
336	wrexham	np0	88	NULL
183	yarmouth	np0	88	NULL
132	jr	np0	88	NULL
184	lichfield	np0	88	NULL
178	investments	np0	88	NULL
157	jacobs	np0	88	NULL
1289	iraqi	np0	87	NULL
283	dss	np0	87	NULL
202	du	np0	87	NULL
801	arsenal	np0	87	NULL
151	bow	np0	87	NULL
133	alf	np0	87	NULL
255	barrow	np0	87	NULL
156	beverly	np0	87	NULL
140	plain	np0	87	NULL
250	pollock	np0	87	NULL
164	rutherford	np0	87	NULL
473	sarajevo	np0	87	NULL
157	raleigh	np0	87	NULL
193	sept	np0	87	NULL
225	whitbread	np0	87	NULL
226	stroud	np0	87	NULL
169	sport	np0	87	NULL
159	grosvenor	np0	87	NULL
276	hal	np0	87	NULL
231	emi	np0	87	NULL
172	peninsula	np0	87	NULL
133	nevada	np0	87	NULL
149	ottawa	np0	87	NULL
256	mar	np0	87	NULL
414	muriel	np0	87	NULL
193	mccartney	np0	87	NULL
449	mclaren	np0	87	NULL
283	noah	np0	86	NULL
126	missouri	np0	86	NULL
244	monde	np0	86	NULL
178	moody	np0	86	NULL
139	palm	np0	86	NULL
118	mall	np0	86	NULL
240	masters	np0	86	NULL
303	birkenhead	np0	86	NULL
209	bass	np0	86	NULL
243	allison	np0	86	NULL
154	luther	np0	86	NULL
204	leonardo	np0	86	NULL
400	esther	np0	86	NULL
253	savage	np0	86	NULL
163	serious	np0	86	NULL
115	pride	np0	86	NULL
435	singh	np0	86	NULL
119	reader	np0	86	NULL
190	richter	np0	86	NULL
165	sofia	np0	86	NULL
132	sol	np0	86	NULL
110	technical	np0	86	NULL
144	technology	np0	85	NULL
187	superintendent	np0	85	NULL
192	upton	np0	85	NULL
147	alberto	np0	85	NULL
181	bridges	np0	85	NULL
321	ahmed	np0	85	NULL
182	milne	np0	85	NULL
174	paulo	np0	85	NULL
111	pavilion	np0	85	NULL
227	orwell	np0	85	NULL
472	echo	np0	85	NULL
256	casey	np0	85	NULL
136	citizen	np0	85	NULL
275	constantine	np0	85	NULL
175	cotswolds	np0	85	NULL
245	crane	np0	85	NULL
164	pole	np0	85	NULL
197	sheridan	np0	85	NULL
147	jennings	np0	85	NULL
163	lynne	np0	85	NULL
171	hancock	np0	85	NULL
228	healey	np0	85	NULL
162	goddard	np0	85	NULL
192	glover	np0	85	NULL
139	gmbh	np0	84	NULL
127	francois	np0	84	NULL
193	olympia	np0	84	NULL
290	malawi	np0	84	NULL
209	turnbull	np0	84	NULL
172	walsall	np0	84	NULL
171	zoo	np0	84	NULL
183	theresa	np0	84	NULL
319	thorne	np0	84	NULL
202	abbot	np0	84	NULL
142	adolf	np0	84	NULL
219	andes	np0	84	NULL
210	argyll	np0	84	NULL
143	britannia	np0	84	NULL
371	browning	np0	84	NULL
168	lynda	np0	84	NULL
175	leipzig	np0	84	NULL
