id	wiki	pos	lvl	text	image	definition	example	audio
0001	http://en.wiktionary.org/wiki/way	noun	0	way	http://upload.wikimedia.org/wikipedia/commons/f/f8/Road_towards_Qantab%2C_Muscat.jpg;http://upload.wikimedia.org/wikipedia/commons/b/b1/Footpath_What_Footpath%5E_-_geograph.org.uk_-_453114.jpg	A road, a direction, a path from one place to another.	Do you know the way to San Jose?	http://upload.wikimedia.org/wikipedia/commons/a/a5/En-us-way.ogg;http://upload.wikimedia.org/wikipedia/commons/3/34/En-uk-way.ogg
0002	http://en.wiktionary.org/wiki/part	noun	0	part	http://upload.wikimedia.org/wikipedia/commons/9/96/Pie_Chart_for_Questions.GIF;http://upload.wikimedia.org/wikipedia/commons/2/2a/BALLOT_BOLTS.jpg	A fraction of a whole; a portion.	Gaul is divided into three parts.	http://upload.wikimedia.org/wikipedia/commons/3/33/En-us-part.ogg
0003	http://en.wiktionary.org/wiki/people	noun	0	people	http://upload.wikimedia.org/wikipedia/commons/3/30/Fiaranantsoa-people.jpg;http://upload.wikimedia.org/wikipedia/commons/9/92/People_2.jpg;http://upload.wikimedia.org/wikipedia/commons/a/a9/Jubilee_crowd.jpg	A group of two or more persons.	More than 22,000,000 people live in Australia.	http://upload.wikimedia.org/wikipedia/commons/9/93/En-us-people.ogg;http://upload.wikimedia.org/wikipedia/commons/2/20/En-uk-people.ogg
0004	http://en.wiktionary.org/wiki/end	noun	0	end	http://upload.wikimedia.org/wikipedia/commons/e/ee/End_of_the_road%5E_-_geograph.org.uk_-_603481.jpg;http://upload.wikimedia.org/wikipedia/commons/2/24/Reykjavik_Marathon_Finish_Line.jpg;http://upload.wikimedia.org/wikipedia/commons/a/ad/UTP_ethernet_cable_8pin_modular_jack_endings.jpg	The final point of something in space or time.	Is there no end to this madness?	http://upload.wikimedia.org/wikipedia/commons/2/22/En-us-end.ogg
0005	http://en.wiktionary.org/wiki/number	noun	0	number	http://upload.wikimedia.org/wikipedia/commons/3/35/Number-9.png;http://upload.wikimedia.org/wikipedia/commons/8/82/Number-10.png;http://upload.wikimedia.org/wikipedia/commons/0/0a/Square_number_25.png	A measure of quantity.	The number 8 is usually made with a single stroke.	http://upload.wikimedia.org/wikipedia/commons/4/40/En-us-number.ogg
0006	http://en.wiktionary.org/wiki/year	noun	0	year	http://upload.wikimedia.org/wikipedia/commons/c/c7/New_year_title.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2011_calendar.svg/200px-2011_calendar.svg.png;http://upload.wikimedia.org/wikipedia/commons/f/f4/New_Year_Celebration_20.JPG;http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/New_Year_Celebration_7.JPG/320px-New_Year_Celebration_7.JPG	The time it takes the Earth to complete one revolution of the Sun.	A normal year has 365 full days, but there are 366 days in a leap year.	http://upload.wikimedia.org/wikipedia/commons/2/24/En-us-year.ogg;http://upload.wikimedia.org/wikipedia/commons/2/29/En-uk-a_year.ogg
0007	http://en.wiktionary.org/wiki/work	noun	0	work	http://upload.wikimedia.org/wikipedia/commons/4/4a/Construction_Workers.jpg;http://upload.wikimedia.org/wikipedia/commons/1/19/Summer_work_.jpg;http://upload.wikimedia.org/wikipedia/commons/7/74/FEMA_-_44156_-_FEMA_Community_Relations_Workers_work_with_a_computer_at_the_Disaster_Center_in_MS.jpg	To do a specific task by employing physical or mental powers.	I wake up for work at 7:00.	http://upload.wikimedia.org/wikipedia/commons/f/ff/En-uk-work.ogg;http://upload.wikimedia.org/wikipedia/commons/5/5f/En-us-work.ogg
0008	http://en.wiktionary.org/wiki/place	noun	0	place	http://upload.wikimedia.org/wikipedia/commons/1/1b/Oishi_Yoshio_and_the_16_partisans_with_unswerving_loyalty.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Asteroids-20060509.png/240px-Asteroids-20060509.png;http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flevoland_position.svg/200px-Flevoland_position.svg.png	A location or position.	Do you want to come over to my place later?	http://upload.wikimedia.org/wikipedia/commons/a/a0/En-us-place.ogg;http://upload.wikimedia.org/wikipedia/commons/e/e5/En-uk-to_place.ogg
0009	http://en.wiktionary.org/wiki/world	noun	0	world	http://upload.wikimedia.org/wikipedia/commons/4/4d/Whole_world_-_land_and_oceans.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Erioll_world_2.svg/200px-Erioll_world_2.svg.png;http://upload.wikimedia.org/wikipedia/commons/0/06/Mars_2.jpg	A planet,especially one which is inhabited or inhabitable.	Our mission is to travel the galaxy and find new worlds.	http://upload.wikimedia.org/wikipedia/commons/9/94/En-ca-world.ogg
0010	http://en.wiktionary.org/wiki/day	noun	0	day	http://upload.wikimedia.org/wikipedia/commons/0/0f/Simple_sunrise.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Clock_simple.svg/200px-Clock_simple.svg.png;http://upload.wikimedia.org/wikipedia/commons/5/57/NASA-Apollo8-Dec24-Earthrise-b.jpg	Rotational period of a planet.	A day on Mars is slightly over 24 hours.	http://upload.wikimedia.org/wikipedia/commons/5/58/En-us-day.ogg;http://upload.wikimedia.org/wikipedia/commons/3/31/En-uk-a_day.ogg
