n1	text	pos	n2	itext
4458	screen	nn1	1013	NULL
2644	mass	nn1	1013	NULL
2203	ends	nn2	1013	NULL
4232	interpretation	nn1	1012	NULL
3285	roads	nn2	1011	NULL
3522	centuries	nn2	1011	NULL
2364	host	nn1	1009	NULL
4803	package	nn1	1009	NULL
2725	personality	nn1	1009	NULL
3074	item	nn1	1007	NULL
2633	suit	nn1	1006	NULL
2049	sorts	nn2	1006	NULL
5018	payment	nn1	1006	NULL
2980	frame	nn1	1005	NULL
3794	grass	nn1	1005	NULL
2870	articles	nn2	1005	NULL
4065	agency	nn1	1005	NULL
5399	sentence	nn1	1005	NULL
5430	rock	nn1	1004	NULL
3717	household	nn1	1004	NULL
3783	editor	nn1	1002	NULL
4085	sports	nn2	1002	NULL
2405	stream	nn1	1002	NULL
2251	promise	nn1	1001	NULL
4975	breath	nn1	1001	NULL
4897	division	nn0	1000	NULL
5097	phone	nn1	999	NULL
3650	writer	nn1	999	NULL
3382	content	nn1	998	NULL
2487	burden	nn1	997	NULL
5492	victory	nn1	997	NULL
3920	formation	nn1	995	NULL
3713	recovery	nn1	995	NULL
2477	millions	nn2	994	NULL
4806	driver	nn1	993	NULL
2059	directions	nn2	992	NULL
6634	legislation	nn1	992	NULL
3842	bag	nn1	992	NULL
3529	representatives	nn2	991	NULL
3833	revolution	nn1	991	NULL
3047	self	nn1	991	NULL
3682	characteristics	nn2	991	NULL
3540	bottle	nn1	991	NULL
3736	plastic	nn1	991	NULL
3193	pocket	nn1	990	NULL
4354	independence	nn1	990	NULL
3979	regulations	nn2	989	NULL
2052	departure	nn1	988	NULL
2814	ears	nn2	988	NULL
1875	suggestions	nn2	988	NULL
2753	degrees	nn2	987	NULL
3590	tasks	nn2	986	NULL
4308	brain	nn1	986	NULL
6778	budget	nn1	986	NULL
5969	applications	nn2	985	NULL
4775	district	nn1	984	NULL
5180	sites	nn2	984	NULL
3204	furniture	nn1	984	NULL
2864	presentation	nn1	983	NULL
3426	delivery	nn1	983	NULL
2928	finger	nn1	982	NULL
2933	entrance	nn1	982	NULL
2821	reading	nn1	982	NULL
5024	island	nn1	982	NULL
6115	ball	nn1	981	NULL
3702	framework	nn1	980	NULL
2794	photographs	nn2	980	NULL
2684	phrase	nn1	980	NULL
3996	trust	nn1	980	NULL
6595	railway	nn1	980	NULL
6171	prison	nn1	980	NULL
3028	brothers	nn2	979	NULL
4127	milk	nn1	978	NULL
4443	engineering	nn1	978	NULL
10319	teachers	nn2	978	NULL
4122	shoulders	nn2	977	NULL
4556	document	nn1	977	NULL
2220	cut	nn1	976	NULL
5293	processes	nn2	976	NULL
2528	replacement	nn1	976	NULL
3552	notion	nn1	976	NULL
4329	shoulder	nn1	976	NULL
1856	favour	nn1	972	NULL
2430	decades	nn2	971	NULL
3695	error	nn1	971	NULL
3014	promotion	nn1	971	NULL
3097	bread	nn1	971	NULL
3696	breakfast	nn1	971	NULL
3727	stars	nn2	970	NULL
3439	individual	nn1	970	NULL
3185	incident	nn1	969	NULL
4539	planning	nn1	969	NULL
4685	organisations	nn2	967	NULL
4724	tour	nn1	967	NULL
4274	bus	nn1	967	NULL
3488	victim	nn1	967	NULL
5494	goal	nn1	966	NULL
5235	birds	nn2	964	NULL
4213	objects	nn2	964	NULL
2494	expertise	nn1	962	NULL
2449	luck	nn1	962	NULL
3705	proposal	nn1	961	NULL
2045	habit	nn1	961	NULL
3689	drink	nn1	961	NULL
3921	accommodation	nn1	959	NULL
4765	boat	nn1	958	NULL
3978	documents	nn2	958	NULL
1878	doubts	nn2	958	NULL
4365	structures	nn2	958	NULL
3092	shoes	nn2	957	NULL
3591	countryside	nn1	957	NULL
3128	adults	nn2	956	NULL
2411	shadow	nn1	956	NULL
7954	sector	nn1	955	NULL
3386	motion	nn1	955	NULL
2543	pressures	nn2	953	NULL
1903	bulk	nn1	952	NULL
2945	assumption	nn1	949	NULL
4163	practices	nn2	948	NULL
2492	nights	nn2	948	NULL
5072	video	nn1	948	NULL
3459	interview	nn1	947	NULL
2189	fears	nn2	946	NULL
3434	partners	nn2	946	NULL
2798	device	nn1	945	NULL
2525	fight	nn1	945	NULL
3104	philosophy	nn1	944	NULL
3404	ice	nn1	943	NULL
2437	qualities	nn2	942	NULL
4113	motor	nn1	941	NULL
3383	communications	nn2	941	NULL
2256	judgement	nn1	940	NULL
4831	farm	nn1	940	NULL
2194	sets	nn2	939	NULL
2282	roots	nn2	939	NULL
2948	tools	nn2	939	NULL
4251	star	nn1	939	NULL
3874	persons	nn2	938	NULL
2712	travel	nn1	937	NULL
3600	coast	nn1	937	NULL
3923	properties	nn2	936	NULL
2940	requirement	nn1	934	NULL
2812	origin	nn1	934	NULL
5059	arts	nn2	934	NULL
3939	crown	nn1	933	NULL
5582	managers	nn2	933	NULL
8113	king	nn1	932	NULL
2408	gift	nn1	932	NULL
2989	perspective	nn1	931	NULL
3854	towns	nn2	931	NULL
3753	losses	nn2	930	NULL
4609	engine	nn1	930	NULL
6320	crime	nn1	930	NULL
4037	doctors	nn2	928	NULL
4209	desk	nn1	928	NULL
2281	links	nn2	927	NULL
2708	guidance	nn1	927	NULL
3533	chest	nn1	926	NULL
3175	meat	nn1	925	NULL
5220	profits	nn2	923	NULL
4244	transfer	nn1	922	NULL
2828	intelligence	nn1	922	NULL
2097	profile	nn1	921	NULL
3503	writers	nn2	921	NULL
3450	parent	nn1	920	NULL
1739	necessity	nn1	920	NULL
4089	tears	nn2	919	NULL
2021	sympathy	nn1	918	NULL
2326	conclusions	nn2	918	NULL
2393	trend	nn1	917	NULL
4698	welfare	nn1	917	NULL
2858	prize	nn1	917	NULL
4560	clients	nn2	916	NULL
2314	peak	nn1	916	NULL
2357	voices	nn2	915	NULL
1985	addition	nn1	915	NULL
3575	theatre	nn1	914	NULL
3092	citizens	nn2	914	NULL
3068	illness	nn1	913	NULL
3492	images	nn2	913	NULL
2200	publicity	nn1	913	NULL
3292	minority	nn1	913	NULL
3977	ship	nn1	912	NULL
2682	responsibilities	nn2	911	NULL
3197	categories	nn2	911	NULL
2122	concerns	nn2	910	NULL
2654	ear	nn1	910	NULL
5725	states	nn2	910	NULL
1939	hopes	nn2	910	NULL
3459	yards	nn2	910	NULL
4619	debt	nn1	909	NULL
2074	generations	nn2	908	NULL
2790	mile	nn1	908	NULL
1803	invitation	nn1	907	NULL
2158	reception	nn1	906	NULL
4237	seats	nn2	905	NULL
2675	contributions	nn2	905	NULL
2957	territory	nn1	904	NULL
3465	dress	nn1	903	NULL
3338	enemy	nn0	902	NULL
2700	roles	nn2	902	NULL
2172	mystery	nn1	902	NULL
1949	setting	nn1	897	NULL
5535	match	nn1	897	NULL
3570	pay	nn1	896	NULL
4189	industries	nn2	895	NULL
2136	boxes	nn2	894	NULL
2800	hat	nn1	893	NULL
3842	hell	nn1	892	NULL
1765	lifetime	nn1	892	NULL
2269	joy	nn1	891	NULL
2856	mirror	nn1	890	NULL
2445	anxiety	nn1	890	NULL
2635	restrictions	nn2	890	NULL
3478	stations	nn2	890	NULL
2769	possession	nn1	889	NULL
2344	dust	nn1	889	NULL
4067	departments	nn2	888	NULL
2649	purchase	nn1	888	NULL
2773	observation	nn1	887	NULL
5586	courts	nn2	887	NULL
2265	destruction	nn1	887	NULL
2006	delay	nn1	886	NULL
2947	plate	nn1	886	NULL
2818	walk	nn1	886	NULL
6066	smile	nn1	886	NULL
1735	drop	nn1	885	NULL
2028	lessons	nn2	884	NULL
2871	soul	nn1	883	NULL
1572	suspicion	nn1	883	NULL
3100	command	nn1	883	NULL
2308	improvements	nn2	883	NULL
4161	proceedings	nn2	881	NULL
2410	platform	nn1	881	NULL
3979	nations	nn2	881	NULL
2537	clock	nn1	880	NULL
3540	border	nn1	879	NULL
2393	causes	nn2	878	NULL
1433	mention	nn1	878	NULL
1897	inside	nn1	878	NULL
2603	headquarters	nn0	878	NULL
1750	being	nn1	877	NULL
2213	bits	nn2	876	NULL
2120	sheets	nn2	875	NULL
2795	institution	nn1	875	NULL
1955	lesson	nn1	874	NULL
3094	beer	nn1	873	NULL
2737	childhood	nn1	872	NULL
4000	communities	nn2	872	NULL
4992	football	nn1	872	NULL
2971	profession	nn1	872	NULL
4031	regions	nn2	872	NULL
4163	customer	nn1	871	NULL
2199	logic	nn1	871	NULL
3325	worker	nn1	870	NULL
2809	anger	nn1	870	NULL
3946	contracts	nn2	869	NULL
2221	amounts	nn2	868	NULL
2260	considerations	nn2	867	NULL
1799	visits	nn2	867	NULL
3682	teams	nn2	867	NULL
3334	mountain	nn1	867	NULL
3219	licence	nn1	866	NULL
4210	finance	nn1	865	NULL
3423	electricity	nn1	864	NULL
1519	quarters	nn2	864	NULL
2783	mechanism	nn1	864	NULL
3481	supporters	nn2	864	NULL
1962	strain	nn1	864	NULL
2306	birthday	nn1	863	NULL
2523	instrument	nn1	863	NULL
1802	isolation	nn1	863	NULL
2094	substance	nn1	862	NULL
1682	weakness	nn1	861	NULL
3023	statistics	nn0	860	NULL
2552	victims	nn2	859	NULL
7293	award	nn1	858	NULL
4253	consumer	nn1	858	NULL
2006	conviction	nn1	858	NULL
2603	waste	nn1	857	NULL
4575	leadership	nn1	856	NULL
2071	era	nn1	856	NULL
3175	sons	nn2	856	NULL
3328	map	nn1	854	NULL
2353	watch	nn1	854	NULL
3215	bird	nn1	854	NULL
7260	firms	nn2	854	NULL
3987	fuel	nn1	854	NULL
2497	acts	nn2	853	NULL
5405	county	nn1	850	NULL
3475	stress	nn1	849	NULL
3093	retirement	nn1	849	NULL
2126	uncertainty	nn1	848	NULL
2717	leisure	nn1	848	NULL
2703	charity	nn1	847	NULL
1820	fortune	nn1	847	NULL
1987	preference	nn1	846	NULL
2131	devices	nn2	846	NULL
4138	sequence	nn1	845	NULL
5088	murder	nn1	844	NULL
2924	port	nn1	843	NULL
5487	output	nn1	843	NULL
2235	quantity	nn1	842	NULL
3560	bedroom	nn1	842	NULL
3965	dogs	nn2	842	NULL
2457	solutions	nn2	842	NULL
1854	humour	nn1	841	NULL
3012	partnership	nn1	840	NULL
2557	string	nn1	838	NULL
2696	ladies	nn2	838	NULL
1622	remainder	nn1	837	NULL
1701	delight	nn1	837	NULL
3759	characters	nn2	837	NULL
3123	components	nn2	837	NULL
2653	critics	nn2	836	NULL
2326	steel	nn1	836	NULL
3567	criteria	nn2	835	NULL
2585	wing	nn1	835	NULL
2073	connections	nn2	834	NULL
2905	sleep	nn1	834	NULL
1949	horror	nn1	834	NULL
1689	opinions	nn2	834	NULL
2533	relatives	nn2	834	NULL
3800	reader	nn1	833	NULL
1906	honour	nn1	830	NULL
1970	shift	nn1	829	NULL
3197	politicians	nn2	829	NULL
2718	column	nn1	828	NULL
9423	species	nn0	827	NULL
2339	edition	nn1	827	NULL
2693	hill	nn1	826	NULL
2745	gate	nn1	826	NULL
1821	succession	nn1	826	NULL
3090	drama	nn1	825	NULL
1747	essence	nn1	825	NULL
1895	calls	nn2	825	NULL
3277	panel	nn1	825	NULL
4343	payments	nn2	825	NULL
2157	phenomenon	nn1	824	NULL
2458	variations	nn2	824	NULL
1557	dangers	nn2	824	NULL
1757	backing	nn1	824	NULL
2026	scenes	nn2	824	NULL
4057	sport	nn1	823	NULL
2825	stones	nn2	823	NULL
1810	routine	nn1	822	NULL
7742	league	nn1	822	NULL
2364	mission	nn1	822	NULL
3274	guests	nn2	822	NULL
8665	election	nn1	822	NULL
2113	passion	nn1	821	NULL
4969	lips	nn2	821	NULL
4456	coal	nn1	820	NULL
2851	coat	nn1	819	NULL
2243	machinery	nn1	819	NULL
3802	markets	nn2	819	NULL
3603	co-operation	nn1	818	NULL
2501	cycle	nn1	818	NULL
3240	findings	nn2	817	NULL
3526	rail	nn1	817	NULL
4122	temperature	nn1	816	NULL
2906	personnel	nn2	816	NULL
2221	guest	nn1	816	NULL
2157	identification	nn1	816	NULL
3484	representation	nn1	815	NULL
2029	mine	nn1	815	NULL
4174	directors	nn2	815	NULL
1932	dates	nn2	815	NULL
2139	complaints	nn2	815	NULL
2457	channel	nn1	814	NULL
1470	disappointment	nn1	814	NULL
4176	sample	nn1	814	NULL
1716	blow	nn1	814	NULL
1347	handful	nn1	813	NULL
3334	corporation	nn0	813	NULL
2540	protest	nn1	813	NULL
2031	removal	nn1	812	NULL
1848	disposal	nn1	812	NULL
6356	users	nn2	812	NULL
3599	song	nn1	812	NULL
4376	horses	nn2	811	NULL
3507	negotiations	nn2	811	NULL
3521	agencies	nn2	810	NULL
4871	exhibition	nn1	809	NULL
2874	servants	nn2	808	NULL
3550	clubs	nn2	808	NULL
1495	barrier	nn1	807	NULL
2128	photograph	nn1	807	NULL
1671	triumph	nn1	807	NULL
2392	wheel	nn1	805	NULL
3399	businesses	nn2	805	NULL
2235	boundaries	nn2	805	NULL
3201	darkness	nn1	805	NULL
2575	manufacturers	nn2	805	NULL
2184	ceiling	nn1	804	NULL
3240	plane	nn1	804	NULL
2062	holidays	nn2	804	NULL
5082	assembly	nn1	803	NULL
1773	demonstration	nn1	803	NULL
2148	divisions	nn2	802	NULL
2397	leather	nn1	802	NULL
1808	virtue	nn1	801	NULL
3501	settlement	nn1	801	NULL
3140	premises	nn2	800	NULL
2618	participation	nn1	800	NULL
2025	left	nn0	799	NULL
1407	encouragement	nn1	799	NULL
1469	excuse	nn1	799	NULL
1830	availability	nn1	798	NULL
1855	references	nn2	798	NULL
2405	completion	nn1	798	NULL
1482	circles	nn2	798	NULL
2591	dispute	nn1	797	NULL
2197	inches	nn2	797	NULL
1700	escape	nn1	796	NULL
2054	stability	nn1	796	NULL
2224	tongue	nn1	796	NULL
2129	aims	nn2	796	NULL
2080	lists	nn2	794	NULL
2297	topic	nn1	794	NULL
1837	quantities	nn2	794	NULL
3429	soldiers	nn2	793	NULL
2804	tape	nn1	793	NULL
1722	venture	nn1	793	NULL
3684	loan	nn1	793	NULL
2443	knees	nn2	792	NULL
1809	origins	nn2	792	NULL
3068	intervention	nn1	792	NULL
3221	cat	nn1	792	NULL
1639	push	nn1	792	NULL
2473	flesh	nn1	791	NULL
3363	kingdom	nn1	791	NULL
1999	visitor	nn1	791	NULL
4241	societies	nn2	791	NULL
1433	attraction	nn1	790	NULL
1642	prospects	nn2	790	NULL
1847	blocks	nn2	789	NULL
2509	boards	nn2	789	NULL
5264	expenditure	nn1	789	NULL
2032	facility	nn1	786	NULL
2116	bars	nn2	786	NULL
3541	religion	nn1	786	NULL
3826	soil	nn1	786	NULL
2857	storage	nn1	786	NULL
1752	offers	nn2	786	NULL
1774	limitations	nn2	786	NULL
2202	formula	nn1	785	NULL
2924	vehicles	nn2	785	NULL
1968	risks	nn2	783	NULL
4399	injury	nn1	783	NULL
4558	governments	nn2	783	NULL
4124	drugs	nn2	782	NULL
2048	sessions	nn2	782	NULL
3815	revenue	nn1	781	NULL
1576	spread	nn1	781	NULL
2293	announcement	nn1	781	NULL
2664	camp	nn1	781	NULL
2933	compensation	nn1	781	NULL
2048	talent	nn1	780	NULL
1912	harm	nn1	780	NULL
1821	gesture	nn1	780	NULL
2341	percentage	nn1	780	NULL
2335	smoke	nn1	778	NULL
3193	resolution	nn1	778	NULL
1552	clothing	nn1	777	NULL
2506	knife	nn1	777	NULL
1946	storm	nn1	776	NULL
1640	speculation	nn1	775	NULL
3694	judge	nn1	775	NULL
1782	refusal	nn1	775	NULL
4090	objectives	nn2	775	NULL
2134	occupation	nn1	775	NULL
2956	ownership	nn1	775	NULL
1678	alarm	nn1	775	NULL
2273	professionals	nn2	774	NULL
5403	client	nn1	774	NULL
1963	warmth	nn1	774	NULL
1415	odds	nn2	774	NULL
1886	friendship	nn1	774	NULL
1457	intentions	nn2	773	NULL
3355	restaurant	nn1	773	NULL
1465	achievements	nn2	773	NULL
1742	symbol	nn1	773	NULL
2496	flat	nn1	773	NULL
1564	mess	nn1	772	NULL
1661	neighbour	nn1	772	NULL
1902	controversy	nn1	771	NULL
2556	stomach	nn1	771	NULL
2262	discipline	nn1	770	NULL
1342	wish	nn1	770	NULL
2288	smell	nn1	769	NULL
1698	instance	nn1	769	NULL
1584	alternatives	nn2	769	NULL
2549	instruments	nn2	768	NULL
3377	regime	nn1	768	NULL
2620	fee	nn1	768	NULL
2311	versions	nn2	767	NULL
2677	mode	nn1	767	NULL
1404	minimum	nn1	766	NULL
3539	ministry	nn0	766	NULL
1332	meantime	nn1	766	NULL
1879	messages	nn2	766	NULL
2983	poverty	nn1	766	NULL
2127	bones	nn2	765	NULL
1321	frustration	nn1	764	NULL
3284	stairs	nn2	764	NULL
2131	angle	nn1	762	NULL
1416	wisdom	nn1	762	NULL
3046	throat	nn1	761	NULL
2176	guidelines	nn2	761	NULL
2225	instruction	nn1	761	NULL
1432	secret	nn1	761	NULL
