n1	text	pos	n2	itext
45443	made	vvn	2971	NULL
52320	make	vvi	2971	NULL
43686	take	vvi	2927	NULL
33982	given	vvn	2886	NULL
32758	taken	vvn	2835	NULL
26580	give	vvi	2803	NULL
22139	making	vvg	2783	NULL
48732	see	vvi	2780	NULL
30447	used	vvn	2727	NULL
33756	seen	vvn	2723	NULL
19162	taking	vvg	2694	NULL
27304	find	vvi	2693	NULL
40982	go	vvi	2678	NULL
43813	see	vvb	2631	NULL
36007	took	vvd	2623	NULL
41844	going	vvg	2621	NULL
23523	come	vvi	2618	NULL
42067	came	vvd	2616	NULL
20907	help	vvi	2606	NULL
21547	known	vvn	2603	NULL
46405	get	vvi	2582	NULL
20165	found	vvn	2573	NULL
160935	said	vvd	2568	NULL
22788	using	vvg	2550	NULL
17755	use	vvi	2529	NULL
15478	called	vvn	2510	NULL
12983	become	vvi	2508	NULL
16393	make	vvb	2498	NULL
15359	working	vvg	2492	NULL
15887	work	vvi	2477	NULL
28167	say	vvi	2476	NULL
11106	giving	vvg	2476	NULL
14416	makes	vvz	2471	NULL
11803	set	vvn	2468	NULL
15680	take	vvb	2465	NULL
16668	keep	vvi	2461	NULL
35904	know	vvi	2459	NULL
21176	looking	vvg	2458	NULL
19268	seems	vvz	2455	NULL
21332	gave	vvd	2430	NULL
38615	went	vvd	2420	NULL
12561	comes	vvz	2390	NULL
15998	said	vvn	2386	NULL
10137	bring	vvi	2383	NULL
21732	became	vvd	2379	NULL
17739	look	vvi	2369	NULL
15769	provide	vvi	2359	NULL
12368	put	vvi	2351	NULL
10855	following	vvg	2334	NULL
11230	become	vvn	2331	NULL
23320	began	vvd	2314	NULL
9748	put	vvn	2311	NULL
17254	say	vvb	2308	NULL
12362	come	vvn	2307	NULL
29811	know	vvb	2304	NULL
15630	based	vvn	2294	NULL
15518	come	vvb	2286	NULL
11235	left	vvn	2284	NULL
18544	made	vvd	2283	NULL
17193	go	vvb	2283	NULL
12308	held	vvn	2282	NULL
11871	means	vvz	2282	NULL
10282	meet	vvi	2280	NULL
23977	saw	vvd	2275	NULL
9706	show	vvi	2273	NULL
15407	need	vvb	2269	NULL
9663	give	vvb	2254	NULL
14614	shown	vvn	2252	NULL
32095	says	vvz	2240	NULL
8797	brought	vvn	2238	NULL
10371	takes	vvz	2229	NULL
9556	goes	vvz	2224	NULL
26202	think	vvb	2222	NULL
8818	leaving	vvg	2213	NULL
21492	want	vvb	2202	NULL
23873	think	vvi	2200	NULL
15209	gone	vvn	2190	NULL
14765	getting	vvg	2178	NULL
10786	need	vvi	2168	NULL
10345	leave	vvi	2152	NULL
9424	gives	vvz	2150	NULL
7765	change	vvi	2148	NULL
6961	followed	vvn	2125	NULL
8210	allow	vvi	2124	NULL
11459	pay	vvi	2122	NULL
13611	put	vvd	2111	NULL
7859	set	vvd	2108	NULL
8077	continue	vvi	2108	NULL
8209	move	vvi	2107	NULL
8664	asked	vvn	2104	NULL
13132	trying	vvg	2092	NULL
6046	follow	vvi	2088	NULL
17155	get	vvb	2088	NULL
16165	like	vvi	2087	NULL
8135	lost	vvn	2086	NULL
14165	found	vvd	2086	NULL
7399	allowed	vvn	2086	NULL
9400	mean	vvi	2078	NULL
8454	thought	vvn	2071	NULL
9183	try	vvi	2064	NULL
7918	expected	vvn	2061	NULL
10191	showed	vvd	2060	NULL
8968	written	vvn	2048	NULL
16858	want	vvi	2038	NULL
9103	find	vvb	2020	NULL
6294	becoming	vvg	2019	NULL
9551	believe	vvb	2016	NULL
9125	coming	vvg	2010	NULL
6830	drawn	vvn	2009	NULL
6454	hold	vvi	1993	NULL
6334	carry	vvi	1991	NULL
7192	start	vvi	1990	NULL
6220	offer	vvi	1990	NULL
6405	lead	vvi	1988	NULL
7262	run	vvi	1987	NULL
6821	turn	vvi	1986	NULL
9876	understand	vvi	1974	NULL
6187	appear	vvi	1974	NULL
10814	saying	vvg	1970	NULL
6581	running	vvg	1969	NULL
16767	tell	vvi	1959	NULL
8193	seem	vvi	1959	NULL
16320	wanted	vvd	1958	NULL
9375	play	vvi	1952	NULL
5561	set	vvi	1950	NULL
6412	avoid	vvi	1947	NULL
5951	changed	vvn	1941	NULL
7920	produce	vvi	1940	NULL
7448	needs	vvz	1938	NULL
10214	feel	vvb	1938	NULL
5766	run	vvn	1937	NULL
5862	putting	vvg	1925	NULL
6573	carried	vvn	1919	NULL
7256	involved	vvn	1913	NULL
19665	seemed	vvd	1913	NULL
11430	told	vvn	1911	NULL
12110	let	vvb	1911	NULL
10074	ask	vvi	1910	NULL
5352	showing	vvg	1907	NULL
8328	considered	vvn	1906	NULL
6184	expect	vvi	1902	NULL
7280	seem	vvb	1884	NULL
9039	fell	vvd	1878	NULL
6939	accept	vvi	1875	NULL
7304	provided	vvn	1865	NULL
5673	prepared	vvn	1864	NULL
6995	built	vvn	1864	NULL
8968	believe	vvi	1858	NULL
8678	look	vvb	1856	NULL
23967	thought	vvd	1853	NULL
24292	knew	vvd	1850	NULL
8714	ensure	vvi	1845	NULL
8268	stop	vvi	1840	NULL
11210	feel	vvi	1836	NULL
7431	appears	vvz	1836	NULL
5299	kept	vvn	1833	NULL
7326	live	vvi	1831	NULL
7423	buy	vvi	1830	NULL
4355	bringing	vvg	1828	NULL
5824	led	vvn	1821	NULL
6813	looks	vvz	1820	NULL
5863	needed	vvn	1819	NULL
5085	leading	vvg	1815	NULL
19319	got	vvn	1815	NULL
7182	consider	vvi	1815	NULL
5992	call	vvi	1811	NULL
4930	prove	vvi	1811	NULL
5552	return	vvi	1808	NULL
5079	reach	vvi	1803	NULL
4942	decided	vvn	1803	NULL
8363	include	vvb	1801	NULL
6454	include	vvi	1794	NULL
5212	keeping	vvg	1792	NULL
6432	remains	vvz	1788	NULL
5255	carrying	vvg	1783	NULL
5364	moving	vvg	1780	NULL
8723	required	vvn	1779	NULL
5130	open	vvb	1775	NULL
5365	join	vvi	1772	NULL
5959	happen	vvi	1771	NULL
4736	reached	vvn	1768	NULL
5287	met	vvn	1761	NULL
4604	begin	vvi	1758	NULL
5074	remain	vvi	1757	NULL
6420	sent	vvn	1756	NULL
6282	developed	vvn	1748	NULL
5482	received	vvn	1748	NULL
8225	provides	vvz	1744	NULL
4896	offered	vvn	1743	NULL
8280	thinking	vvg	1743	NULL
6923	paid	vvn	1742	NULL
6398	produced	vvn	1741	NULL
7532	heard	vvn	1740	NULL
5706	support	vvi	1740	NULL
6083	explain	vvi	1739	NULL
4530	chosen	vvn	1735	NULL
7037	described	vvn	1731	NULL
6273	create	vvi	1730	NULL
5342	works	vvz	1726	NULL
17185	felt	vvd	1723	NULL
7155	knows	vvz	1721	NULL
7652	stay	vvi	1721	NULL
7545	use	vvb	1721	NULL
5746	caused	vvn	1720	NULL
6571	shows	vvz	1719	NULL
7339	becomes	vvz	1717	NULL
5340	stand	vvi	1713	NULL
5905	prevent	vvi	1708	NULL
5026	build	vvi	1707	NULL
5659	achieved	vvn	1705	NULL
6572	includes	vvz	1704	NULL
5128	introduced	vvn	1704	NULL
4437	passed	vvn	1701	NULL
5007	become	vvb	1699	NULL
7215	born	vvn	1697	NULL
8654	playing	vvg	1688	NULL
5784	achieve	vvi	1687	NULL
4054	finding	vvg	1685	NULL
4726	turned	vvn	1685	NULL
6692	develop	vvi	1684	NULL
5323	holding	vvg	1676	NULL
4849	receive	vvi	1676	NULL
4529	spent	vvn	1671	NULL
4312	fall	vvi	1662	NULL
8123	left	vvd	1662	NULL
4130	moved	vvn	1660	NULL
8273	ran	vvd	1658	NULL
15328	told	vvd	1658	NULL
6596	wants	vvz	1657	NULL
8755	hear	vvi	1657	NULL
5199	designed	vvn	1656	NULL
4294	starting	vvg	1654	NULL
6652	remember	vvi	1651	NULL
5039	leave	vvb	1650	NULL
6228	keep	vvb	1648	NULL
4130	worked	vvn	1647	NULL
